PrincipalDiagnosis,Sex,25th Percentile,50th Percentile,75th Percentile,Maximum,AverageCharge
A03.9,M,5080.412278005284,5080.412278005284,5080.412278005284,5080.412278005284,5080.412278005284
A04.0,F,8407.670256328465,8407.670256328465,8407.670256328465,8407.670256328465,8407.670256328465
A04.1,M,5879.429275725968,6173.310712812756,6467.192149899543,6761.073586986331,6173.310712812756
A04.2,M,5221.122301275476,5221.122301275476,5221.122301275476,5221.122301275476,5221.122301275476
A04.4,M,6525.545485218589,7447.167663593966,8368.789841969341,9290.412020344716,7447.167663593966
A04.5,M,7831.930098612347,7831.930098612347,7831.930098612347,7831.930098612347,7831.930098612347
A05.1,F,7350.3062924061005,7350.3062924061005,7350.3062924061005,7350.3062924061005,7350.3062924061005
A05.3,M,5452.65868118353,5452.65868118353,5452.65868118353,5452.65868118353,5452.65868118353
A05.4,M,5923.544175387415,5923.544175387415,5923.544175387415,5923.544175387415,5923.544175387415
A05.5,M,4922.4230979049535,4922.4230979049535,4922.4230979049535,4922.4230979049535,4922.4230979049535
A05.6,F,7465.275129283779,7465.275129283779,7465.275129283779,7465.275129283779,7465.275129283779
A05.6,M,7012.954353451218,7012.954353451218,7012.954353451218,7012.954353451218,7012.954353451218
A05.7,F,8010.04485531418,8010.04485531418,8010.04485531418,8010.04485531418,8010.04485531418
A05.8,F,6662.504851568421,6862.972246468889,7063.439641369358,7263.907036269826,6862.972246468889
A05.9,F,7236.154221449695,7236.154221449695,7236.154221449695,7236.154221449695,7236.154221449695
A05.9,M,8575.702683915475,8575.702683915475,8575.702683915475,8575.702683915475,8575.702683915475
A06.1,M,5974.779639418531,6496.844644881237,7727.67760439079,10160.148584455212,7205.612598928084
A06.3,F,6517.347738837371,6517.347738837371,6517.347738837371,6517.347738837371,6517.347738837371
A06.3,M,6701.75803127423,6701.75803127423,6701.75803127423,6701.75803127423,6701.75803127423
A06.5,F,8302.67590295583,8302.67590295583,8302.67590295583,8302.67590295583,8302.67590295583
A06.6,F,8830.94274971812,8830.94274971812,8830.94274971812,8830.94274971812,8830.94274971812
A06.6,M,7234.399541850309,7234.399541850309,7234.399541850309,7234.399541850309,7234.399541850309
A06.7,F,6670.871816419038,6670.871816419038,6670.871816419038,6670.871816419038,6670.871816419038
A06.8,M,8558.858259520417,8558.858259520417,8558.858259520417,8558.858259520417,8558.858259520417
A07.0,M,4826.772631346405,4826.772631346405,4826.772631346405,4826.772631346405,4826.772631346405
A07.1,F,7786.849059071415,7991.502084244434,8196.155109417454,8400.808134590472,7991.502084244434
A07.1,M,7566.049899013587,7718.427493242205,7870.805087470823,8023.182681699442,7718.427493242205
A07.2,M,6799.93929663832,6799.93929663832,6799.93929663832,6799.93929663832,6799.93929663832
A07.3,F,5852.075384274292,5852.075384274292,5852.075384274292,5852.075384274292,5852.075384274292
A07.3,M,7007.403606659227,7007.403606659227,7007.403606659227,7007.403606659227,7007.403606659227
A07.4,F,7662.296609206291,7756.200048301402,7850.103487396512,7944.006926491623,7756.200048301402
A07.5,M,7418.924296775069,7418.924296775069,7418.924296775069,7418.924296775069,7418.924296775069
A07.6,M,6517.1817002558555,6624.098872389206,6731.0160445225565,6837.933216655907,6624.098872389206
A07.8,F,6899.164023946017,6922.930375714941,6946.696727483865,6970.46307925279,6922.930375714941
A07.8,M,8510.927632155215,8510.927632155215,8510.927632155215,8510.927632155215,8510.927632155215
A08.0,F,6752.110672740244,6752.110672740244,6752.110672740244,6752.110672740244,6752.110672740244
A08.1,F,7268.319454095702,7268.319454095702,7268.319454095702,7268.319454095702,7268.319454095702
A08.1,M,9035.940403191122,9035.940403191122,9035.940403191122,9035.940403191122,9035.940403191122
A08.3,F,9076.974048671866,9076.974048671866,9076.974048671866,9076.974048671866,9076.974048671866
A08.3,M,7034.321896613395,7034.321896613395,7034.321896613395,7034.321896613395,7034.321896613395
A08.4,M,8899.47835582956,8899.47835582956,8899.47835582956,8899.47835582956,8899.47835582956
A08.7,M,7458.221253011009,7458.221253011009,7458.221253011009,7458.221253011009,7458.221253011009
A08.8,F,9407.2975224068,9407.2975224068,9407.2975224068,9407.2975224068,9407.2975224068
A08.8,M,7423.520159798884,7637.564102238692,7851.608044678499,8065.651987118306,7637.564102238692
A09.0,F,8322.648901224939,8322.648901224939,8322.648901224939,8322.648901224939,8322.648901224939
A09.0,M,9023.949971477614,9023.949971477614,9023.949971477614,9023.949971477614,9023.949971477614
A09.1,F,6152.4204717842495,6152.4204717842495,6152.4204717842495,6152.4204717842495,6152.4204717842495
A09.3,F,8324.43004394799,8764.558999264365,9204.687954580742,9644.81690989712,8764.558999264365
A09.5,F,6345.184995964513,6345.184995964513,6345.184995964513,6345.184995964513,6345.184995964513
A09.9,F,6651.234517946021,6898.445514745699,7145.656511545379,7392.867508345058,6898.445514745699
A10.0,F,7554.575696786582,7554.575696786582,7554.575696786582,7554.575696786582,7554.575696786582
A10.0,M,6673.689638788168,6887.789832337767,7101.890025887365,7315.990219436963,6887.789832337767
A10.1,F,7308.013626449627,8064.0415139510105,8820.069401452394,9576.097288953779,8064.0415139510105
A10.2,F,5877.224523085204,5877.224523085204,5877.224523085204,5877.224523085204,5877.224523085204
A10.2,M,6471.657373696893,6495.522604366294,6519.387835035695,6543.253065705096,6495.522604366294
A10.3,F,6431.050612203229,6431.050612203229,6431.050612203229,6431.050612203229,6431.050612203229
A10.3,M,8796.632243323118,8796.632243323118,8796.632243323118,8796.632243323118,8796.632243323118
A10.4,F,8440.468364797842,8440.468364797842,8440.468364797842,8440.468364797842,8440.468364797842
A10.8,M,7853.485637614032,7853.485637614032,7853.485637614032,7853.485637614032,7853.485637614032
A10.9,M,7190.314585979186,7190.314585979186,7190.314585979186,7190.314585979186,7190.314585979186
A11.0,M,7662.089592129576,7662.089592129576,7662.089592129576,7662.089592129576,7662.089592129576
A11.2,M,7136.788181177517,7136.788181177517,7136.788181177517,7136.788181177517,7136.788181177517
A11.3,M,5382.59539748435,5708.065355756016,6033.535314027682,6359.005272299349,5708.065355756016
A11.5,F,9142.49535926455,9142.49535926455,9142.49535926455,9142.49535926455,9142.49535926455
A11.6,F,6912.317631241289,6912.317631241289,6912.317631241289,6912.317631241289,6912.317631241289
A11.7,F,5975.850033327825,5975.850033327825,5975.850033327825,5975.850033327825,5975.850033327825
A11.7,M,7368.571662404138,7368.571662404138,7368.571662404138,7368.571662404138,7368.571662404138
A11.8,F,7405.838327548771,7405.838327548771,7405.838327548771,7405.838327548771,7405.838327548771
A12.0,M,7940.206190446965,7940.206190446965,7940.206190446965,7940.206190446965,7940.206190446965
A12.1,F,6944.410631386048,6944.410631386048,6944.410631386048,6944.410631386048,6944.410631386048
A12.1,M,7764.659667277187,7764.659667277187,7764.659667277187,7764.659667277187,7764.659667277187
A12.2,M,9128.036068429625,9128.036068429625,9128.036068429625,9128.036068429625,9128.036068429625
A12.3,F,6648.3423718846025,6648.3423718846025,6648.3423718846025,6648.3423718846025,6648.3423718846025
A12.4,F,6625.7935362130975,7065.163213212712,7504.5328902123265,7943.9025672119415,7065.163213212712
A12.8,F,6967.882460019202,7609.8427861584505,8251.803112297699,8893.763438436948,7609.8427861584505
A12.9,M,7232.782499042336,7232.782499042336,7232.782499042336,7232.782499042336,7232.782499042336
A13.0,F,6746.9484785700715,7131.858352693145,7296.813594905384,7461.768837117623,6985.221931419255
A13.1,F,7707.604889937289,7707.604889937289,7707.604889937289,7707.604889937289,7707.604889937289
A13.2,F,6537.850358119014,6749.822658533619,6961.794958948223,7173.767259362829,6749.822658533619
A13.2,M,6121.884848350539,6121.884848350539,6121.884848350539,6121.884848350539,6121.884848350539
A13.3,F,7248.744276906127,7361.818909121502,7474.893541336876,7587.968173552252,7361.818909121502
A13.4,F,8106.8841957068835,8106.8841957068835,8106.8841957068835,8106.8841957068835,8106.8841957068835
A13.5,F,8403.211330487708,8403.211330487708,8403.211330487708,8403.211330487708,8403.211330487708
A13.6,F,6465.340678048838,6736.671487206491,7008.002296364145,7279.333105521799,6736.671487206491
A13.7,F,5428.082037927308,5428.082037927308,5428.082037927308,5428.082037927308,5428.082037927308
A13.8,F,7671.766947740372,7671.766947740372,7671.766947740372,7671.766947740372,7671.766947740372
A13.8,M,6820.804034767077,6820.804034767077,6820.804034767077,6820.804034767077,6820.804034767077
A14.0,M,8994.619899409723,8994.619899409723,8994.619899409723,8994.619899409723,8994.619899409723
A14.1,M,6157.8050702953715,6157.8050702953715,6157.8050702953715,6157.8050702953715,6157.8050702953715
A14.2,F,8916.7900055066,8916.7900055066,8916.7900055066,8916.7900055066,8916.7900055066
A14.2,M,7913.027061790775,7913.027061790775,7913.027061790775,7913.027061790775,7913.027061790775
A14.3,F,6096.294729459056,6285.167299613475,6474.039869767894,6662.912439922313,6285.167299613475
A14.3,M,8260.408425923677,8260.408425923677,8260.408425923677,8260.408425923677,8260.408425923677
A14.4,F,8567.251815902,8567.251815902,8567.251815902,8567.251815902,8567.251815902
A14.4,M,8509.247965672499,8509.247965672499,8509.247965672499,8509.247965672499,8509.247965672499
A14.5,F,6313.074779333981,6313.074779333981,6313.074779333981,6313.074779333981,6313.074779333981
A14.6,F,6521.17462188797,6780.255256269331,7039.335890650692,7298.416525032053,6780.255256269331
A14.8,F,6961.198383091194,7282.336206625747,7803.429756275644,8592.15377339593,7482.291932741091
A14.9,F,6032.128654851664,6032.128654851664,6032.128654851664,6032.128654851664,6032.128654851664
A15.0,M,6530.665521777642,6530.665521777642,6530.665521777642,6530.665521777642,6530.665521777642
A15.2,M,7408.459895354741,7408.459895354741,7408.459895354741,7408.459895354741,7408.459895354741
A15.5,F,9284.654205773533,9284.654205773533,9284.654205773533,9284.654205773533,9284.654205773533
A15.6,M,6250.34276819792,6250.34276819792,6250.34276819792,6250.34276819792,6250.34276819792
A15.8,M,6588.445309436315,7112.77053918206,7567.552017759013,8022.333496335967,7066.408038402867
A15.9,F,6399.811463534141,6871.44808427788,7343.08470502162,7814.72132576536,6871.44808427788
A15.9,M,5900.92022517954,5900.92022517954,5900.92022517954,5900.92022517954,5900.92022517954
A16.0,M,6965.90748902824,7805.10385415947,8644.3002192907,9483.49658442193,7805.10385415947
A16.1,F,6812.460113028662,6812.460113028662,6812.460113028662,6812.460113028662,6812.460113028662
A16.2,F,6947.930399691735,6947.930399691735,6947.930399691735,6947.930399691735,6947.930399691735
A16.2,M,7562.946811994307,7562.946811994307,7562.946811994307,7562.946811994307,7562.946811994307
A16.3,F,9806.791456882973,9806.791456882973,9806.791456882973,9806.791456882973,9806.791456882973
A16.4,M,6060.261493335054,6060.261493335054,6060.261493335054,6060.261493335054,6060.261493335054
A16.5,F,6232.785215748935,6391.056013425342,7176.76667774212,7962.477342058899,6809.349257852256
A16.5,M,5574.144461629532,5574.144461629532,5574.144461629532,5574.144461629532,5574.144461629532
A16.6,F,7243.709190873362,7243.709190873362,7243.709190873362,7243.709190873362,7243.709190873362
A16.6,M,7294.8493002211735,7294.8493002211735,7294.8493002211735,7294.8493002211735,7294.8493002211735
A16.7,F,6551.657492726286,6551.657492726286,6551.657492726286,6551.657492726286,6551.657492726286
A16.7,M,7043.93655048095,7043.93655048095,7043.93655048095,7043.93655048095,7043.93655048095
A16.8,F,7277.149414037222,7277.149414037222,7277.149414037222,7277.149414037222,7277.149414037222
A16.9,M,9614.174560134943,9614.174560134943,9614.174560134943,9614.174560134943,9614.174560134943
A17.0,F,6716.532599601527,6716.532599601527,6716.532599601527,6716.532599601527,6716.532599601527
A17.1,F,9026.006938895349,9026.006938895349,9026.006938895349,9026.006938895349,9026.006938895349
A17.1,M,5633.956341840927,5633.956341840927,5633.956341840927,5633.956341840927,5633.956341840927
A17.3,M,7359.041897025987,8434.417202459483,8784.4660359344,9134.514869409317,7950.866221153764
A17.4,M,7281.5741955655485,7491.655518514441,7701.736841463333,7911.818164412225,7491.655518514441
A17.5,F,8317.110407859645,8317.110407859645,8317.110407859645,8317.110407859645,8317.110407859645
A17.5,M,4204.335275745915,4204.335275745915,4204.335275745915,4204.335275745915,4204.335275745915
A17.9,M,6430.550190739872,6663.821509714424,7648.358492843442,8632.89547597246,7164.665285817401
A18.0,M,8613.087558288895,8613.087558288895,8613.087558288895,8613.087558288895,8613.087558288895
A18.2,F,7377.013186357253,7377.013186357253,7377.013186357253,7377.013186357253,7377.013186357253
A18.4,M,4403.169179339008,4403.169179339008,4403.169179339008,4403.169179339008,4403.169179339008
A18.5,F,9373.144265740571,9373.144265740571,9373.144265740571,9373.144265740571,9373.144265740571
A18.7,M,7004.0983935344675,7798.025214701705,8591.952035868942,9385.87885703618,7798.025214701705
A18.8,F,7426.26835842326,7928.153904563717,8430.039450704175,8931.924996844631,7928.153904563717
A18.8,M,8559.998871334672,8559.998871334672,8559.998871334672,8559.998871334672,8559.998871334672
A19.0,M,5995.875167876899,5995.875167876899,5995.875167876899,5995.875167876899,5995.875167876899
A19.1,F,6746.15370471805,6746.15370471805,6746.15370471805,6746.15370471805,6746.15370471805
A19.1,M,8870.098481625542,8870.098481625542,8870.098481625542,8870.098481625542,8870.098481625542
A19.3,F,8266.677700140088,8266.677700140088,8266.677700140088,8266.677700140088,8266.677700140088
A19.4,F,7919.655911179215,7919.655911179215,7919.655911179215,7919.655911179215,7919.655911179215
A19.9,M,6916.417015475898,7251.694003443636,7589.677054860638,7927.660106277641,7253.498045743145
A20.1,F,6616.755685035814,6616.755685035814,6616.755685035814,6616.755685035814,6616.755685035814
A20.4,F,6981.065986170584,7524.535084124782,7764.047636934098,8003.560189743413,7321.897387361528
A20.6,F,6604.692372384228,6604.692372384228,6604.692372384228,6604.692372384228,6604.692372384228
A20.6,M,9621.234858827342,9621.234858827342,9621.234858827342,9621.234858827342,9621.234858827342
A20.7,F,8109.963559109594,8109.963559109594,8109.963559109594,8109.963559109594,8109.963559109594
A20.8,F,6975.4402357598665,7273.070022553183,7570.699809346499,7868.329596139816,7273.070022553183
A21.1,F,7152.802689432725,7152.802689432725,7152.802689432725,7152.802689432725,7152.802689432725
A21.2,F,8266.929995649869,8266.929995649869,8266.929995649869,8266.929995649869,8266.929995649869
A21.2,M,8216.96337629976,8216.96337629976,8216.96337629976,8216.96337629976,8216.96337629976
A21.6,M,6500.350603274008,6500.350603274008,6500.350603274008,6500.350603274008,6500.350603274008
A21.7,F,6514.042330477235,6514.042330477235,6514.042330477235,6514.042330477235,6514.042330477235
A21.8,F,8526.490123161298,8527.99070429997,8529.49128543864,8530.991866577311,8527.99070429997
A21.8,M,6806.459206146485,6806.459206146485,6806.459206146485,6806.459206146485,6806.459206146485
A21.9,F,8592.545814007643,8592.545814007643,8592.545814007643,8592.545814007643,8592.545814007643
A21.9,M,6788.575133318436,6788.575133318436,6788.575133318436,6788.575133318436,6788.575133318436
A22.1,M,6090.72970555622,6090.72970555622,6090.72970555622,6090.72970555622,6090.72970555622
A22.2,F,6062.913461271185,6062.913461271185,6062.913461271185,6062.913461271185,6062.913461271185
A22.5,M,7841.247790662972,7841.247790662972,7841.247790662972,7841.247790662972,7841.247790662972
A22.8,F,6988.413052953767,7352.961710788992,7717.510368624216,8082.059026459441,7352.961710788992
A22.8,M,7723.095269372447,7723.095269372447,7723.095269372447,7723.095269372447,7723.095269372447
A22.9,F,6438.127783411754,6457.264494821651,6888.4741828565575,8133.968563348637,6869.337471446659
A23.1,F,10007.786596485032,10007.786596485032,10007.786596485032,10007.786596485032,10007.786596485032
A23.3,F,7156.377901352669,7156.377901352669,7156.377901352669,7156.377901352669,7156.377901352669
A23.3,M,8368.745870363484,8368.745870363484,8368.745870363484,8368.745870363484,8368.745870363484
A23.4,M,6828.6914589026155,6828.6914589026155,6828.6914589026155,6828.6914589026155,6828.6914589026155
A23.5,F,7813.719033346875,7813.719033346875,7813.719033346875,7813.719033346875,7813.719033346875
A23.6,M,8081.204535004297,8081.204535004297,8081.204535004297,8081.204535004297,8081.204535004297
A23.9,F,9489.44827326337,9489.44827326337,9489.44827326337,9489.44827326337,9489.44827326337
A24.0,M,5858.783786094565,6184.271989671022,6793.580903814049,7402.889817957075,6373.485796715402
A24.1,F,5747.534520384495,6496.62433306745,7245.714145750404,7994.803958433358,6496.62433306745
A24.2,F,8057.65909247339,8057.65909247339,8057.65909247339,8057.65909247339,8057.65909247339
A24.2,M,5618.649236257623,5618.649236257623,5618.649236257623,5618.649236257623,5618.649236257623
A24.3,F,6512.389100205664,6560.214518284044,6608.039936362424,6655.865354440803,6560.214518284044
A24.3,M,6989.164233028122,6989.164233028122,6989.164233028122,6989.164233028122,6989.164233028122
A24.4,M,6509.835987590255,6894.536600935637,7279.237214281017,7663.937827626399,6894.536600935637
A24.5,F,6548.231212173096,6548.231212173096,6548.231212173096,6548.231212173096,6548.231212173096
A24.6,F,6800.906783229634,6800.906783229634,6800.906783229634,6800.906783229634,6800.906783229634
A24.7,M,8644.641171879837,8644.641171879837,8644.641171879837,8644.641171879837,8644.641171879837
A25.0,F,8259.056702984255,8259.056702984255,8259.056702984255,8259.056702984255,8259.056702984255
A25.0,M,7829.644952633507,7829.644952633507,7829.644952633507,7829.644952633507,7829.644952633507
A25.1,F,6179.738855143832,6458.583501085061,6737.4281470262895,7016.272792967518,6458.583501085061
A25.1,M,6401.517101644131,7386.056653812728,8370.596205981325,9355.135758149923,7386.056653812728
A25.2,F,9775.953721260434,9775.953721260434,9775.953721260434,9775.953721260434,9775.953721260434
A25.3,F,6728.571364245232,6728.571364245232,6728.571364245232,6728.571364245232,6728.571364245232
A25.4,M,8290.182518599893,8290.182518599893,8290.182518599893,8290.182518599893,8290.182518599893
A25.6,M,7926.734115780191,8565.49279760079,9204.251479421386,9843.010161241982,8565.49279760079
A25.7,M,9059.58207465603,9059.58207465603,9059.58207465603,9059.58207465603,9059.58207465603
A25.9,F,7438.620291812955,7438.620291812955,7438.620291812955,7438.620291812955,7438.620291812955
A25.9,M,5714.634233365436,6176.004882409921,6637.375531454406,7098.746180498891,6176.004882409921
A26.0,M,6838.221108729143,6929.218542979583,7392.59468124092,7855.970819502257,7177.47101232018
A26.1,F,5295.951298624426,5295.951298624426,5295.951298624426,5295.951298624426,5295.951298624426
A26.1,M,6540.8949017458835,6540.8949017458835,6540.8949017458835,6540.8949017458835,6540.8949017458835
A26.2,F,6960.757659147857,7725.324117933953,8489.890576720049,9254.457035506144,7725.324117933953
A26.3,F,5694.621903992966,5694.621903992966,5694.621903992966,5694.621903992966,5694.621903992966
A26.3,M,7459.061465018142,7459.061465018142,7459.061465018142,7459.061465018142,7459.061465018142
A26.4,M,8302.839854900909,8302.839854900909,8302.839854900909,8302.839854900909,8302.839854900909
A26.5,F,9616.127808040459,9616.127808040459,9616.127808040459,9616.127808040459,9616.127808040459
A26.6,F,6505.519484660045,6505.519484660045,6505.519484660045,6505.519484660045,6505.519484660045
A26.6,M,5962.106954060093,5962.106954060093,5962.106954060093,5962.106954060093,5962.106954060093
A26.7,F,7371.996423354076,7371.996423354076,7371.996423354076,7371.996423354076,7371.996423354076
A26.8,F,8243.779503784011,8243.779503784011,8243.779503784011,8243.779503784011,8243.779503784011
A27.0,M,7373.30038815085,7373.30038815085,7373.30038815085,7373.30038815085,7373.30038815085
A27.1,F,5129.983390273335,5129.983390273335,5129.983390273335,5129.983390273335,5129.983390273335
A27.2,F,7350.425005813108,7350.425005813108,7350.425005813108,7350.425005813108,7350.425005813108
A27.3,F,6674.156841246923,7700.431083244463,8024.339882539186,8348.24868183391,7232.187454775919
A27.3,M,5672.882576001574,5672.882576001574,5672.882576001574,5672.882576001574,5672.882576001574
A27.5,F,10132.032959909648,10132.032959909648,10132.032959909648,10132.032959909648,10132.032959909648
A27.5,M,7129.355782119188,7129.355782119188,7129.355782119188,7129.355782119188,7129.355782119188
A27.6,F,10111.089621497127,10111.089621497127,10111.089621497127,10111.089621497127,10111.089621497127
A27.6,M,7609.88099536003,7609.88099536003,7609.88099536003,7609.88099536003,7609.88099536003
A27.7,M,6361.761197260718,6361.761197260718,6361.761197260718,6361.761197260718,6361.761197260718
A27.9,M,9103.165006777002,9173.964489678125,9183.765093482283,9193.565697286442,9133.29857028015
A28.0,F,5929.553124208287,6163.482202634615,6397.411281060942,6631.340359487271,6163.482202634615
A28.3,F,5265.669360771694,5794.191463211515,6322.713565651336,6851.235668091156,5794.191463211515
A28.4,F,5772.439501878767,5772.439501878767,5772.439501878767,5772.439501878767,5772.439501878767
A28.4,M,7572.774931045968,7572.774931045968,7572.774931045968,7572.774931045968,7572.774931045968
A28.6,M,6170.278906895497,6539.536384460674,6908.79386202585,7278.051339591026,6539.536384460674
A28.8,F,6406.836986740642,6406.836986740642,6406.836986740642,6406.836986740642,6406.836986740642
A28.8,M,7432.733059628272,7432.733059628272,7432.733059628272,7432.733059628272,7432.733059628272
A29.0,M,9024.591346630084,9024.591346630084,9024.591346630084,9024.591346630084,9024.591346630084
A29.1,M,7769.621793270755,7769.621793270755,7769.621793270755,7769.621793270755,7769.621793270755
A29.2,M,6158.802889839952,6158.802889839952,6158.802889839952,6158.802889839952,6158.802889839952
A29.3,M,7797.7065005771165,7974.549918363932,8151.393336150748,8328.236753937563,7974.549918363932
A29.4,M,8033.345875472673,8055.806199691769,8078.266523910865,8100.726848129961,8055.806199691769
A29.5,M,5764.858871208657,5853.853022152631,5942.847173096606,6031.84132404058,5853.853022152631
A29.6,F,6635.873337288125,6635.873337288125,6635.873337288125,6635.873337288125,6635.873337288125
A29.7,F,7937.5680655004035,7937.5680655004035,7937.5680655004035,7937.5680655004035,7937.5680655004035
A29.7,M,7975.657521866025,7975.657521866025,7975.657521866025,7975.657521866025,7975.657521866025
A29.8,M,7303.200654459148,7303.200654459148,7303.200654459148,7303.200654459148,7303.200654459148
A29.9,F,6060.632121543264,6060.632121543264,6060.632121543264,6060.632121543264,6060.632121543264
A29.9,M,6731.927731072334,7388.822651364408,8045.717571656482,8702.612491948556,7388.822651364408
A30.1,F,10317.790626119644,10317.790626119644,10317.790626119644,10317.790626119644,10317.790626119644
A30.2,F,6881.792922818109,6881.792922818109,6881.792922818109,6881.792922818109,6881.792922818109
A30.3,F,8379.960777037819,8379.960777037819,8379.960777037819,8379.960777037819,8379.960777037819
A30.3,M,7417.351162035805,7721.667386706698,8025.983611377592,8330.299836048485,7721.667386706698
A30.5,F,6940.502047169712,6940.502047169712,6940.502047169712,6940.502047169712,6940.502047169712
A30.7,M,7251.938383128001,7251.938383128001,7251.938383128001,7251.938383128001,7251.938383128001
A30.8,F,6966.9536809045985,6966.9536809045985,6966.9536809045985,6966.9536809045985,6966.9536809045985
A30.9,M,7972.677615573458,8406.869451012562,8841.061286451666,9275.25312189077,8406.869451012562
A31.0,M,6745.909933413647,6745.909933413647,6745.909933413647,6745.909933413647,6745.909933413647
A31.1,F,6473.736319740154,6473.736319740154,6473.736319740154,6473.736319740154,6473.736319740154
A31.1,M,5409.540309032895,6111.276907029536,6813.013505026177,7514.750103022818,6111.276907029536
A31.2,M,7351.311952959577,7351.311952959577,7351.311952959577,7351.311952959577,7351.311952959577
A31.3,F,7137.201713600392,8118.721088083626,9100.240462566859,10081.759837050091,8118.721088083626
A31.5,F,7109.0287443528905,7109.0287443528905,7109.0287443528905,7109.0287443528905,7109.0287443528905
A31.6,M,4760.3514072970875,4760.3514072970875,4760.3514072970875,4760.3514072970875,4760.3514072970875
A31.7,F,6623.877775953903,6623.877775953903,6623.877775953903,6623.877775953903,6623.877775953903
A31.8,M,5805.332158686091,5924.733191230176,6044.134223774262,6163.535256318347,5924.733191230176
A32.0,F,7753.75553338906,7753.75553338906,7753.75553338906,7753.75553338906,7753.75553338906
A32.0,M,7604.852533531586,7604.852533531586,7604.852533531586,7604.852533531586,7604.852533531586
A32.2,F,7807.208752855206,7807.208752855206,7807.208752855206,7807.208752855206,7807.208752855206
A32.2,M,7483.020331291374,7483.020331291374,7483.020331291374,7483.020331291374,7483.020331291374
A32.3,M,6208.212350606522,6208.212350606522,6208.212350606522,6208.212350606522,6208.212350606522
A32.4,M,6549.742036040232,6549.742036040232,6549.742036040232,6549.742036040232,6549.742036040232
A32.5,F,7940.096759629708,7940.096759629708,7940.096759629708,7940.096759629708,7940.096759629708
A32.5,M,7033.413774531057,7404.270742311901,7775.127710092745,8145.984677873588,7404.270742311901
A32.6,F,7125.432877157425,7220.958983300699,7316.485089443975,7412.011195587251,7220.958983300699
